"Section","key","English (reference — do not edit)","Khmer (edit here)","Chinese (edit here)","Notes for Claude"
"About — timeline","aboutTimeline.2002.caption","Roots deepen","ឫសគល់រឹងមាំ","扎根成长",""
"About — timeline","aboutTimeline.2002.heading","Our First Move","ការប្តូរទីតាំងដំបូង","第一次扩展",""
"About — timeline","aboutTimeline.2002.year","2002","២០០២","2002",""
"About — timeline","aboutTimeline.2008.alt","Roomchang ISO certification","វិញ្ញាបនបត្រ ISO របស់ Roomchang","Roomchang ISO认证",""
"About — timeline","aboutTimeline.2008.body","Roomchang earns its first ISO certification — the first dental facility in Cambodia to achieve international quality management standards, setting the benchmark for clinical excellence in the country.","Roomchang ទទួលបានវិញ្ញាបនបត្រ ISO ដំបូង — ជាមន្ទីរទន្តសាស្ត្រដំបូងក្នុងប្រទេសកម្ពុជាដែលសម្រេចបានស្តង់ដារគ្រប់គ្រងគុណភាពអន្តរជាតិ ដោយកំណត់ស្តង់ដារសម្រាប់ភាពឆ្នើមក្នុងវិស័យទន្តសាស្ត្រក្នុងប្រទេស។","Roomchang获得首个ISO认证——成为柬埔寨首家获得国际质量管理标准认证的牙科机构，为全国临床卓越树立标杆。",""
"About — timeline","aboutTimeline.2008.caption","Recognition","ការទទួលស្គាល់","获得认可",""
"About — timeline","aboutTimeline.2008.heading","First ISO Certification","វិញ្ញាបនបត្រ ISO ដំបូង","首获ISO认证",""
"About — timeline","aboutTimeline.2008.year","2008","២០០៨","2008",""
"About — timeline","aboutTimeline.2011.alt","Roomchang Main Hospital, 2011","មន្ទីរពេទ្យកណ្ដាល Roomchang ២០១១","Roomchang总院，2011年",""
"About — timeline","aboutTimeline.2011.body","The flagship 10-storey dental hospital opens — purpose-built with 46 dental chairs, 9 operation rooms, an in-house CAD/CAM laboratory, and hospital-grade sterilisation. Cambodia's most advanced dental facility.","មន្ទីរពេទ្យទន្តសាស្ត្រ ១០ ជាន់ បើកដំណើរការ — សាងសង់ពិសេសជាមួយកៅអីទន្តពេទ្យ ៤៦ បន្ទប់វះកាត់ ៩ មន្ទីរពិសោធន៍ CAD/CAM និងប្រព័ន្ធវាយមេរោគស្តង់ដារមន្ទីរពេទ្យ។ មន្ទីរទន្តសាស្ត្រទំនើបបំផុតរបស់កម្ពុជា។","旗舰型10层牙科医院启用——专门建造，配备46台牙椅、9间手术室、院内CAD/CAM实验室和医院级消毒系统。柬埔寨最先进的牙科设施。",""
"About — timeline","aboutTimeline.2011.caption","A new era","យុគសម័យថ្មី","崭新时代",""
"About — timeline","aboutTimeline.2011.heading","Taking the Next Step","ជំហានបន្ទាប់","迈上新台阶",""
"About — timeline","aboutTimeline.2011.year","2011","២០១១","2011",""
"About — timeline","aboutTimeline.2014.alt","Roomchang Rose Condo branch, 2014","Roomchang សាខាវិមានកុលាប ឆ្នាំ២០១៤","Roomchang Rose Condo分院，2014年",""
"About — timeline","aboutTimeline.2014.body","Roomchang opens at Rose Condo — bringing specialist dental care to one of Phnom Penh's growing residential communities, with the same team and standards as the main hospital.","Roomchang សាខាវិមានកុលាប — នាំមកនូវសេវាទន្តសាស្ត្រឯកទេសដល់សហគមន៍លំនៅដ្ឋានកំពុងរីកចម្រើនមួយរបស់ភ្នំពេញ ជាមួយនឹងក្រុមទន្តពេទ្យដែលមានបទពិសោធន៍និងការព្យាបាលស្តង់ដារតែមួយ។","Roomchang在Rose Condo开设分院——将专科牙科服务带入金边快速发展的住宅社区，与总院保持相同的团队和标准。",""
"About — timeline","aboutTimeline.2014.caption","Expanding reach","ពង្រីកវិសាលភាព","覆盖更广",""
"About — timeline","aboutTimeline.2014.heading","Rose Condo Branch","សាខា វិមានកុលាប","Rose Condo分院",""
"About — timeline","aboutTimeline.2014.year","2014","២០១៤","2014",""
"About — timeline","aboutTimeline.2018.alt","Roomchang AEON Mall Sen Sok branch, 2018","Roomchang សាខាអ៊ីអនម៉លសែនសុខ ២០១៨","Roomchang AEON Mall Sen Sok分院，2018年",""
"About — timeline","aboutTimeline.2018.body","A new branch inside AEON Mall Sen Sok — making specialist dental care accessible in one of Phnom Penh's busiest shopping destinations, serving families and walk-in patients in the city's northern corridor.","សាខាថ្មីក្នុង ផ្សារទំនើបអ៊ីអនម៉លសែនសុខ— ធ្វើឱ្យសេវាទន្តសាស្ត្រឯកទេសអាចចូលប្រើបាននៅក្នុងទីតាំងទិញទំនិញមមាញឹកបំផុតមួយរបស់ភ្នំពេញ ដោយបម្រើគ្រួសារ និងអ្នកជំងឺដែលមកដោយខ្លួនឯង។","新分院入驻AEON Mall Sen Sok——在金边最繁忙的购物中心之一提供专科牙科服务，服务周边家庭和自行到店的患者。",""
"About — timeline","aboutTimeline.2018.caption","Going further","ឆ្ពោះទៅមុខ","继续前行",""
"About — timeline","aboutTimeline.2018.heading","AEON Mall Sen Sok","អ៊ីអនម៉លសែនសុខ","AEON Mall Sen Sok分院",""
"About — timeline","aboutTimeline.2018.year","2018","២០១៨","2018",""
"About — timeline","aboutTimeline.2022a.alt","Roomchang PH Euro Park branch, 2022","Roomchang សាខាភីអេចយូរ៉ូផាក  ឆ្នាំ២០២២","Roomchang PH Euro Park分院，2022年",""
"About — timeline","aboutTimeline.2022a.body","Roomchang opens at PH Euro Park — extending our reach to another key area of Phnom Penh with a fully equipped branch delivering the full range of specialist dental services.","Roomchang សាខាភីអេចយូរ៉ូផាក — ពង្រីកវិសាលភាពដល់តំបន់សំខាន់មួយទៀតរបស់ភ្នំពេញ ជាមួយសាខាដែលបំពាក់ពេញលេញ ផ្ដល់សេវាទន្តសាស្ត្រឯកទេសគ្រប់ប្រភេទ។","Roomchang在PH Euro Park开设分院——将服务延伸至金边另一核心区域，提供全方位专科牙科服务。",""
"About — timeline","aboutTimeline.2022a.caption","Growth continues","ការរីកចម្រើនបន្ត","持续成长",""
"About — timeline","aboutTimeline.2022a.heading","PH Euro Park","ភីអេចយូរ៉ូផាក","PH Euro Park分院",""
"About — timeline","aboutTimeline.2022a.year","May 2022","ឧសភា ២០២២","2022年5月",""
"About — timeline","aboutTimeline.2022b.alt","Roomchang Fun Mall TK Avenue branch, 2022","Roomchang សាខាផ្សារទំនើបហ្វាន់ម៉ល់ធីខេ ឆ្នាំ២០២២","Roomchang Fun Mall TK Avenue分院，2022年",""
"About — timeline","aboutTimeline.2022b.body","The fifth branch opens at Fun Mall on TK Avenue — completing Roomchang's network of five locations across Phnom Penh, each delivering the same specialist care and hospital-grade standards.","សាខាទីប្រាំបើកនៅ ផ្សារទំនើបហ្វាន់ម៉ល់ ធីខេ — ពង្រីកបណ្ដាញសាខាទាំង ៥ របស់ Roomchang នៅភ្នំពេញ ដោយទីតាំងនីមួយៗផ្ដល់សេវាទន្តសាស្ត្រគ្រប់ប្រភេទ និងស្តង់ដារតែមួយ។","第五家分院在TK Avenue的Fun Mall开业——完成了Roomchang覆盖金边五大区位的医疗网络，每家分院均提供同等专科水准和医院级标准。",""
"About — timeline","aboutTimeline.2022b.caption","Five branches","សាខាទាំង ៥","五院联动",""
"About — timeline","aboutTimeline.2022b.heading","Fun Mall — TK Avenue","សាខាផ្សារទំនើបហ្វាន់ម៉ល់","Fun Mall — TK Avenue分院",""
"About — timeline","aboutTimeline.2022b.year","Oct 2022","តុលា ២០២២","2022年10月",""
"About — timeline","aboutTimeline.now.alt","Roomchang Dental Hospital — present day aerial view","មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang — រូបភាពពីលើ បច្ចុប្បន្ន","Roomchang牙科医院——今日鸟瞰图",""
"About — timeline","aboutTimeline.now.body","Five branches. Seventy-four chairs. 37+ specialist dentists. 9 operation rooms. Thousands of patients every month. And the same conviction that started it all — quality care, close to home.","សាខាទាំង ៥។ កៅអី ៧៤។ ទន្តបណ្ឌិតឯកទេស ៣៧ នាក់។ បន្ទប់វះកាត់ ៩។ អ្នកជំងឺរាប់ពាន់នាក់ជារៀងរាល់ខែ និងទំនុកចិត្តលើសេវាថែទាំប្រកបដោយគុណភាព ក្បែរផ្ទះរបស់លោកអ្នក។","五家分院。74台牙椅。37位以上专科医生。9间手术室。每月服务数千名患者。以及始终如一的初心——让优质医疗触手可及。",""
"About — timeline","aboutTimeline.now.caption","A hospital network","បណ្ដាញមន្ទីរពេទ្យ","医疗网络",""
"About — timeline","aboutTimeline.now.heading","Present Day","បច្ចុប្បន្ន","今天",""
"About — timeline","aboutTimeline.now.year","Now","បច្ចុប្បន្ន","至今",""
"About — vision/mission/values","visionMission.backLink","About","អំពីយើង","关于我们",""
"About — vision/mission/values","visionMission.cta.button","Meet Our Doctors","ជួបទន្តបណ្ឌិតរបស់យើង","认识我们的医生",""
"About — vision/mission/values","visionMission.cta.description","Meet the specialist team that brings these principles to life every day.","ជួបក្រុមអ្នកឯកទេសដែលនាំគោលការណ៍ទាំងនេះមកអនុវត្តជាក់ស្តែងជារៀងរាល់ថ្ងៃ។","认识每天将这些原则付诸实践的专科团队。",""
"About — vision/mission/values","visionMission.cta.heading","See our values in action","មើលគុណតម្លៃរបស់យើងក្នុងសកម្មភាព","见证我们价值观的实践",""
"About — vision/mission/values","visionMission.intro","The principles that have guided Roomchang since 1996 — and continue to shape every consultation, treatment plan, and patient interaction.","គោលការណ៍ដែលបាននាំផ្លូវ Roomchang តាំងពីឆ្នាំ ១៩៩៦ — ហើយនៅតែបន្តរៀបចំរាល់ការពិគ្រោះយោបល់ ផែនការព្យាបាល និងទំនាក់ទំនងជាមួយអ្នកជំងឺ។","自 1996 年以来一直指引 Roomchang 的原则——并持续塑造着每一次问诊、每一份治疗方案以及每一次与患者的互动。",""
"About — vision/mission/values","visionMission.mission.description","Every treatment plan is designed around the patient — not the procedure. We listen, educate, and deliver care that respects your time, your budget, and your goals.","ផែនការព្យាបាលនីមួយៗត្រូវបានរៀបចំឡើងដោយផ្តោតលើអ្នកជំងឺ — មិនមែនលើនីតិវិធីនោះទេ។ យើងស្តាប់ ផ្តល់ចំណេះដឹង និងផ្តល់ការថែទាំដែលគោរពពេលវេលា ថវិកា និងគោលដៅរបស់អ្នក។","每一份治疗方案都以患者为中心来设计——而非以诊疗程序为中心。我们倾听、讲解，并提供尊重您的时间、预算与目标的护理。",""
"About — vision/mission/values","visionMission.mission.label","Mission","បេសកកម្ម","使命",""
"About — vision/mission/values","visionMission.mission.statement","We truly care for your teeth.","យើងពិតជាយកចិត្តទុកដាក់ចំពោះធ្មេញរបស់អ្នក។","我们真心呵护您的牙齿。",""
"About — vision/mission/values","visionMission.title","Vision, Mission & Values","ចក្ខុវិស័យ បេសកកម្ម និងគុណតម្លៃ","愿景、使命与价值观",""
"About — vision/mission/values","visionMission.values.heading","Our Core Values","គុណតម្លៃស្នូលរបស់យើង","我们的核心价值观",""
"About — vision/mission/values","visionMission.values.intro","Five principles shape every interaction at Roomchang, from how we design treatments to how we answer the phone.","គោលការណ៍ទាំងប្រាំរៀបចំរាល់ទំនាក់ទំនងនៅ Roomchang ចាប់ពីរបៀបដែលយើងរៀបចំការព្យាបាល រហូតដល់របៀបដែលយើងឆ្លើយទូរស័ព្ទ។","五项原则塑造着 Roomchang 的每一次互动，从我们如何设计治疗方案，到我们如何接听电话。",""
"About — vision/mission/values","visionMission.values.items.excellence.description","From routine check-ups to complex full-mouth reconstructions, we hold ourselves to the same standard of excellence every time.","ចាប់ពីការពិនិត្យធ្មេញធម្មតា រហូតដល់ការកសាងធ្មេញឡើងវិញពេញមាត់ដ៏ស្មុគស្មាញ យើងប្រកាន់ខ្ជាប់នូវស្តង់ដារនៃភាពល្អប្រសើរដូចគ្នាគ្រប់ពេលវេលា។","从常规检查到复杂的全口重建，我们每一次都以同样卓越的标准要求自己。",""
"About — vision/mission/values","visionMission.values.items.excellence.title","Excellence","ភាពល្អប្រសើរ","卓越",""
"About — vision/mission/values","visionMission.values.items.honesty.description","Clear pricing, transparent treatment options, and no hidden fees. We believe informed patients make the best decisions.","តម្លៃច្បាស់លាស់ ជម្រើសព្យាបាលមានតម្លាភាព និងគ្មានថ្លៃលាក់កំបាំង។ យើងជឿថាអ្នកជំងឺដែលមានព័ត៌មានគ្រប់គ្រាន់ ធ្វើការសម្រេចចិត្តបានល្អបំផុត។","价格清晰、治疗选项透明，绝无隐藏费用。我们相信，充分知情的患者能做出最佳决定。",""
"About — vision/mission/values","visionMission.values.items.honesty.title","Honesty","ភាពស្មោះត្រង់","诚信",""
"About — vision/mission/values","visionMission.values.items.innovation.description","We invest continuously in technology — from CAD/CAM digital labs to 3D CBCT imaging — to stay at the forefront of dentistry.","យើងវិនិយោគជាបន្តបន្ទាប់លើបច្ចេកវិទ្យា — ចាប់ពីមន្ទីរពិសោធន៍ឌីជីថល CAD/CAM រហូតដល់ការថតរូបភាព 3D CBCT — ដើម្បីឈរនៅជួរមុខនៃវិស័យទន្តពេទ្យ។","我们持续投入于技术——从 CAD/CAM 数字化技工室到 3D CBCT 影像——以始终走在牙科领域的前沿。",""
"About — vision/mission/values","visionMission.values.items.innovation.title","Innovation","ការច្នៃប្រឌិត","创新",""
"About — vision/mission/values","visionMission.values.items.professionalism.description","Our team holds international qualifications and operates to the highest clinical standards, guided by rigorous internal protocols and continuous training.","ក្រុមការងាររបស់យើងមានសញ្ញាបត្រកម្រិតអន្តរជាតិ និងធ្វើការតាមស្តង់ដារព្យាបាលខ្ពស់បំផុត ដោយមានការដឹកនាំពីពិធីការផ្ទៃក្នុងដ៏តឹងរ៉ឹង និងការបណ្តុះបណ្តាលជាបន្តបន្ទាប់។","我们的团队持有国际资质，遵循最高的临床标准，并在严格的内部规程和持续培训的指导下开展工作。",""
"About — vision/mission/values","visionMission.values.items.professionalism.title","Professionalism","វិជ្ជាជីវៈ","专业精神",""
"About — vision/mission/values","visionMission.values.items.teamwork.description","A collaborative environment where specialists across disciplines work together to deliver the best outcome for every patient.","បរិយាកាសសហការមួយ ដែលអ្នកឯកទេសពីផ្នែកផ្សេងៗគ្នាធ្វើការរួមគ្នា ដើម្បីផ្តល់លទ្ធផលល្អបំផុតសម្រាប់អ្នកជំងឺម្នាក់ៗ។","在协作的环境中，各专科的专家携手合作，为每一位患者带来最佳的治疗成效。",""
"About — vision/mission/values","visionMission.values.items.teamwork.title","Teamwork","ការងារជាក្រុម","团队协作",""
"About — vision/mission/values","visionMission.vision.description","We see a Cambodia where every person has access to world-class dental care — and where choosing local doesn't mean compromising on quality.","យើងស្រមៃឃើញកម្ពុជាមួយ ដែលមនុស្សគ្រប់រូបអាចទទួលបានការថែទាំធ្មេញកម្រិតពិភពលោក — ហើយជ្រើសរើសសេវាក្នុងស្រុក មិនមានន័យថាត្រូវសម្របសម្រួលលើគុណភាពនោះទេ។","我们期望柬埔寨的每一个人都能获得世界一流的牙科护理——选择本地服务，并不意味着要在质量上妥协。",""
"About — vision/mission/values","visionMission.vision.label","Vision","ចក្ខុវិស័យ","愿景",""
"About — vision/mission/values","visionMission.vision.statement","Enriching lives with quality dentistry.","បំពេញបន្ថែមជីវិតឲ្យកាន់តែប្រសើរ ដោយទន្តពេទ្យដែលមានគុណភាព។","以优质牙科服务丰富人们的生活。",""
"Blog — dentist talks","dentistTalks.backLink","Education Blog","ប្លុកអប់រំ","教育博客",""
"Blog — dentist talks","dentistTalks.cta.body","Our team is ready to help. Book a free consultation and get personalised advice from our specialist dentists.","ក្រុមការងាររបស់យើងត្រៀមរួចជាស្រេចដើម្បីជួយ។ ធ្វើការណាត់ជួបពិគ្រោះដោយឥតគិតថ្លៃ ហើយទទួលបានដំបូន្មានផ្ទាល់ខ្លួនពីទន្តបណ្ឌិតឯកទេសរបស់យើង។","我们的团队随时为您提供帮助。预约免费咨询，从我们的专科医生处获得个性化建议。",""
"Blog — dentist talks","dentistTalks.cta.button","Book a Consultation","ធ្វើការណាត់ជួបពិគ្រោះ","预约咨询",""
"Blog — dentist talks","dentistTalks.cta.heading","Have more questions?","មានសំណួរបន្ថែមទៀតមែនទេ?","还有更多疑问吗？",""
"Blog — dentist talks","dentistTalks.hero.intro","Hear directly from Roomchang's dentists as they explain common dental concerns, treatment options, modern technologies, and how patients can make informed decisions about their oral health.","ស្តាប់ដោយផ្ទាល់ពីទន្តបណ្ឌិតរបស់ Roomchang ពេលពួកគាត់ពន្យល់អំពីបញ្ហាធ្មេញទូទៅ ជម្រើសនៃការព្យាបាល បច្ចេកវិទ្យាទំនើប និងរបៀបដែលអ្នកជំងឺអាចធ្វើការសម្រេចចិត្តប្រកបដោយការយល់ដឹងអំពីសុខភាពមាត់ធ្មេញរបស់ខ្លួន។","直接聆听 Roomchang 的医生讲解常见的牙齿问题、治疗方案、现代技术，以及患者如何就自身口腔健康做出明智的决定。",""
"Blog — dentist talks","dentistTalks.hero.title","Dentist Talks","ការសន្ទនាជាមួយទន្តបណ្ឌិត","牙医谈",""
"Blog — dentist talks","dentistTalks.intro.heading","Expert Dental Advice from Roomchang","ដំបូន្មានធ្មេញពីអ្នកជំនាញ Roomchang","来自 Roomchang 的专业牙科建议",""
"Blog — dentist talks","dentistTalks.intro.paragraph1","At Roomchang Dental Hospital, patient education is part of every treatment journey. In this video series, our dentists share practical insights about dental care, treatment planning, prevention, and advanced procedures available at Roomchang.","នៅមន្ទីរពេទ្យធ្មេញ Roomchang ការអប់រំអ្នកជំងឺគឺជាផ្នែកមួយនៃដំណើរការព្យាបាលរាល់ពេល។ ក្នុងស៊េរីវីដេអូនេះ ទន្តបណ្ឌិតរបស់យើងចែករំលែកចំណេះដឹងជាក់ស្តែងអំពីការថែទាំធ្មេញ ការរៀបចំផែនការព្យាបាល ការការពារ និងនីតិវិធីទំនើបៗដែលមាននៅ Roomchang។","在 Roomchang 牙科医院，患者教育是每一段治疗旅程的一部分。在这个视频系列中，我们的医生分享关于牙齿护理、治疗规划、预防以及 Roomchang 提供的先进诊疗的实用见解。",""
"Blog — dentist talks","dentistTalks.intro.paragraph2","Whether you are considering implants, braces, veneers, crowns, whitening, or routine care, these talks are designed to help you better understand your options before starting treatment.","មិនថាអ្នកកំពុងពិចារណាដាក់ធ្មេញ ការដាក់ដែកធ្មេញ វីនៀ គ្រោបធ្មេញ ការសម្អាតលាងធ្មេញ ឬការថែទាំធម្មតានោះទេ ការសន្ទនាទាំងនេះត្រូវបានរៀបចំឡើងដើម្បីជួយឱ្យអ្នកយល់កាន់តែច្បាស់អំពីជម្រើសរបស់អ្នកមុនពេលចាប់ផ្តើមការព្យាបាល។","无论您正在考虑种植牙、牙齿矫正、贴面、牙冠、美白还是日常护理，这些谈话都旨在帮助您在开始治疗前更好地了解自己的选择。",""
"Blog — dentist talks","dentistTalks.items.0dxBq4qkGDY.title","Roomchang Dental Hospital with Dr. Tith Hong Yoeu — Dentistry Uncensored with Howard Farran","មន្ទីរពេទ្យធ្មេញ Roomchang ជាមួយ ទន្តបណ្ឌិត Tith Hong Yoeu — Dentistry Uncensored with Howard Farran","Roomchang 牙科医院与 Dr. Tith Hong Yoeu — Dentistry Uncensored with Howard Farran",""
"Blog — dentist talks","dentistTalks.items.0dxBq4qkGDY.topic","Interview","បទសម្ភាសន៍","访谈",""
"Blog — dentist talks","dentistTalks.items.3IeYTNI9hR8.title","Early Childhood Caries (Tooth Decay in Young Children)","ការខូចធ្មេញដំបូងក្នុងវ័យកុមារ (ការខូចធ្មេញចំពោះកុមារតូច)","幼儿龋齿（低龄儿童的蛀牙）",""
"Blog — dentist talks","dentistTalks.items.3IeYTNI9hR8.topic","Pediatric Dentistry","ទន្តពេទ្យកុមារ","儿童牙科",""
"Blog — dentist talks","dentistTalks.items.7GFKeh5GlSA.title","How to Care for Your Teeth Properly — Dr. Lao Chanvattey","របៀបថែទាំធ្មេញឱ្យបានត្រឹមត្រូវ — ទន្តបណ្ឌិត Lao Chanvattey","如何正确护理牙齿 — Dr. Lao Chanvattey",""
"Blog — dentist talks","dentistTalks.items.7GFKeh5GlSA.topic","Preventive Dentistry","ទន្តពេទ្យបង្ការ","预防牙科",""
"Blog — dentist talks","dentistTalks.items.8I06e8cQzAo.title","When Should a Child Have Their First Orthodontic Visit?","តើកុមារគួរទៅពិនិត្យតម្រឹមធ្មេញលើកដំបូងនៅពេលណា?","孩子应在何时首次进行正畸检查？",""
"Blog — dentist talks","dentistTalks.items.8I06e8cQzAo.topic","Orthodontics","ការតម្រឹមធ្មេញ","牙齿矫正",""
"Blog — dentist talks","dentistTalks.items.98xjrKSG2Tg.title","Impacted Wisdom Teeth, Explained by Dr. Dara Narith","ធ្មេញប្រាជ្ញាដុះក្រៀម ពន្យល់ដោយ ទន្តបណ្ឌិត Dara Narith","阻生智齿，由 Dr. Dara Narith 讲解",""
"Blog — dentist talks","dentistTalks.items.98xjrKSG2Tg.topic","Oral Surgery","វះកាត់មាត់ធ្មេញ","口腔外科",""
"Blog — dentist talks","dentistTalks.items.aseJoChyLM8.title","Fissure Sealants for Children's Teeth","ការបិទប្រហោងស្នាមរបេចធ្មេញសម្រាប់កុមារ","儿童牙齿的窝沟封闭",""
"Blog — dentist talks","dentistTalks.items.aseJoChyLM8.topic","Pediatric Dentistry","ទន្តពេទ្យកុមារ","儿童牙科",""
"Blog — dentist talks","dentistTalks.items.cilwCM3Iguc.title","Teeth Cleaning vs. Teeth Whitening: What's the Difference?","ការសម្អាតធ្មេញ ធៀបនឹងការសម្ផស្សធ្មេញ៖ តើខុសគ្នាយ៉ាងណា?","洗牙与牙齿美白：有何区别？",""
"Blog — dentist talks","dentistTalks.items.cilwCM3Iguc.topic","Cosmetic Dentistry","ទន្តពេទ្យសម្រស់","美容牙科",""
"Blog — dentist talks","dentistTalks.items.cWWiy-CxvJI.title","Roomchang in the News — Implants, Crowns & Dentistry","Roomchang ក្នុងព័ត៌មាន — ការដាក់ធ្មេញ គ្រោបធ្មេញ និងទន្តពេទ្យ","Roomchang 新闻报道 — 种植牙、牙冠与牙科",""
"Blog — dentist talks","dentistTalks.items.cWWiy-CxvJI.topic","News","ព័ត៌មាន","新闻",""
"Blog — dentist talks","dentistTalks.items.FDTUTfFDESI.title","The Effects of Snoring and Sleep Apnea","ផលប៉ះពាល់នៃការស្រមុក និងការផ្អាកដង្ហើមពេលគេង","打鼾与睡眠呼吸暂停的影响",""
"Blog — dentist talks","dentistTalks.items.FDTUTfFDESI.topic","Sleep Apnea","ការផ្អាកដង្ហើមពេលគេង","睡眠呼吸暂停",""
"Blog — dentist talks","dentistTalks.items.H-57t06LuqE.title","Understanding Gum Disease","ការយល់ដឹងអំពីជំងឺអញ្ចាញធ្មេញ","了解牙龈疾病",""
"Blog — dentist talks","dentistTalks.items.H-57t06LuqE.topic","Periodontal Dentistry","ទន្តពេទ្យអញ្ចាញធ្មេញ","牙周牙科",""
"Blog — dentist talks","dentistTalks.items.lOlr2xdYjlM.title","Roomchang TVC (English)","Roomchang TVC (ភាសាអង់គ្លេស)","Roomchang TVC（英文）",""
"Blog — dentist talks","dentistTalks.items.p7Elqx5UUo4.title","Should You See a Dentist If Your Teeth Don't Hurt?","តើអ្នកគួរទៅជួបទន្តបណ្ឌិតទេ បើធ្មេញរបស់អ្នកមិនឈឺ?","牙齿不痛还需要看牙医吗？",""
"Blog — dentist talks","dentistTalks.items.p7Elqx5UUo4.topic","Preventive Dentistry","ទន្តពេទ្យបង្ការ","预防牙科",""
"Blog — dentist talks","dentistTalks.items.Sj212poMjQQ.title","Solutions for Bad Breath","ដំណោះស្រាយចំពោះក្លិនមាត់","口臭的解决方案",""
"Blog — dentist talks","dentistTalks.items.Sj212poMjQQ.topic","Oral Hygiene","អនាម័យមាត់ធ្មេញ","口腔卫生",""
"Blog — dentist talks","dentistTalks.items.sUghKx1CrnA.title","Interview with Dr. Heng Kyhak: Implantology","បទសម្ភាសន៍ជាមួយ ទន្តបណ្ឌិត Heng Kyhak៖ ការដាក់ធ្មេញ","专访 Dr. Heng Kyhak：种植牙学",""
"Blog — dentist talks","dentistTalks.items.sUghKx1CrnA.topic","Implantology","ការដាក់ធ្មេញ","种植牙学",""
"Blog — dentist talks","dentistTalks.items.TjCpgw7GDYQ.title","Periodontal Disease, Explained by Dr. Meng Hang","ជំងឺអញ្ចាញធ្មេញ ពន្យល់ដោយ ទន្តបណ្ឌិត Meng Hang","牙周疾病，由 Dr. Meng Hang 讲解",""
"Blog — dentist talks","dentistTalks.items.TjCpgw7GDYQ.topic","Periodontal Dentistry","ទន្តពេទ្យអញ្ចាញធ្មេញ","牙周牙科",""
"Blog — dentist talks","dentistTalks.items.vTLQyPsjEvo.title","Tooth Sensitivity, Explained by Dr. Seun Rathanak","ការប្រកាន់ធ្មេញ ពន្យល់ដោយ ទន្តបណ្ឌិត Seun Rathanak","牙齿敏感，由 Dr. Seun Rathanak 讲解",""
"Blog — dentist talks","dentistTalks.items.vTLQyPsjEvo.topic","General Dentistry","ទន្តពេទ្យទូទៅ","普通牙科",""
"Blog — dentist talks","dentistTalks.items.WsaRFqhtULQ.title","Should Pregnant Women See a Dentist? — Dr. Sam Chanphallyka","តើស្ត្រីមានផ្ទៃពោះគួរទៅជួបទន្តបណ្ឌិតទេ? — ទន្តបណ្ឌិត Sam Chanphallyka","孕妇应该看牙医吗？ — Dr. Sam Chanphallyka",""
"Blog — dentist talks","dentistTalks.items.WsaRFqhtULQ.topic","Preventive Dentistry","ទន្តពេទ្យបង្ការ","预防牙科",""
"Blog — dentist talks","dentistTalks.items.X8GvbpfjMAU.title","Protecting Teeth from Grinding and Wear","ការការពារធ្មេញពីការសង្កិច និងការសឹក","保护牙齿免受磨损",""
"Blog — dentist talks","dentistTalks.items.X8GvbpfjMAU.topic","Preventive Dentistry","ទន្តពេទ្យបង្ការ","预防牙科",""
"Blog — dentist talks","dentistTalks.items.xQrmC7xfpis.title","Caring For and Treating Children's Teeth","ការថែទាំ និងព្យាបាលធ្មេញកុមារ","儿童牙齿的护理与治疗",""
"Blog — dentist talks","dentistTalks.items.xQrmC7xfpis.topic","Pediatric Dentistry","ទន្តពេទ្យកុមារ","儿童牙科",""
"Blog — dentist talks","dentistTalks.items.zajv8AuutfE.title","How to Get Whiter, Brighter Teeth","របៀបធ្វើឱ្យធ្មេញសរ និងភ្លឺថ្លាជាងមុន","如何让牙齿更白、更亮",""
"Blog — dentist talks","dentistTalks.items.zajv8AuutfE.topic","Cosmetic Dentistry","ទន្តពេទ្យសម្រស់","美容牙科",""
"Blog — dentist talks","dentistTalks.items.ZpQZqMHN4us.title","Oral Health for Babies and Children","សុខភាពមាត់ធ្មេញសម្រាប់ទារក និងកុមារ","婴幼儿与儿童的口腔健康",""
"Blog — dentist talks","dentistTalks.items.ZpQZqMHN4us.topic","Pediatric Dentistry","ទន្តពេទ្យកុមារ","儿童牙科",""
"Blog — dentist talks","dentistTalks.videos.cardDescription","Watch this Roomchang Dentist Talks video from the official YouTube playlist.","ទស្សនាវីដេអូ Roomchang Dentist Talks នេះពីបញ្ជីចាក់ផ្លាយផ្លូវការនៅ YouTube។","观看这段来自 Roomchang 官方 YouTube 播放列表的牙医谈视频。",""
"Blog — dentist talks","dentistTalks.videos.cardSource","Roomchang Dental Hospital","មន្ទីរពេទ្យធ្មេញ Roomchang","Roomchang 牙科医院",""
"Blog — dentist talks","dentistTalks.videos.heading","Watch Our Dentists Explain","ទស្សនាការពន្យល់ពីទន្តបណ្ឌិតរបស់យើង","观看我们的医生讲解",""
"Blog — dentist talks","dentistTalks.videos.intro","Learn from Roomchang dentists through short, informative videos covering everyday dental questions and advanced treatment topics.","រៀនពីទន្តបណ្ឌិត Roomchang តាមរយៈវីដេអូខ្លីៗ ដែលផ្តល់ព័ត៌មានគ្របដណ្តប់លើសំណួរធ្មេញប្រចាំថ្ងៃ និងប្រធានបទនៃការព្យាបាលកម្រិតខ្ពស់។","通过 Roomchang 医生的简短信息视频学习，内容涵盖日常牙科问题和先进治疗主题。",""
